Index,ctrgcn-B,ctrgcn-BM,ctrgcn-J,ctrgcn-JM,mstgcn-B,mstgcn-BM,mstgcn-J,mstgcn-JM,skkmixf-B,skkmixf-J,skmixf-B,skmixf-BM,skmixf-J,skmixf-JM,tdgcn-B,tdgcn-BM,tdgcn-J,tdgcn-JM,tegcn-B,tegcn-J
0,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114
1,131,83,131,82,77,82,130,83,131,131,130,79,93,80,130,83,131,82,130,93
2,143,103,56,15,111,48,42,37,37,36,31,5,49,15,105,122,49,37,5,19
3,43,43,43,41,43,43,43,43,43,43,43,36,43,43,43,43,43,43,43,43
4,74,132,130,132,146,146,79,91,86,82,82,86,76,76,74,76,79,146,80,82
5,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
6,136,71,136,29,20,29,20,128,128,20,30,128,152,137,121,128,20,142,20,30
7,136,138,136,138,136,138,136,136,136,136,100,103,136,138,136,136,136,138,136,136
8,123,53,50,71,123,47,123,93,53,52,36,34,122,51,29,37,142,29,123,52
9,128,122,128,128,128,23,128,122,128,128,128,128,128,128,128,147,128,46,127,128
10,91,91,132,91,91,91,132,91,132,132,91,91,91,93,132,91,132,96,132,91
11,133,133,47,47,142,142,4,88,47,88,88,47,88,133,133,88,133,88,123,88
12,146,78,146,93,146,93,146,131,87,146,146,81,146,131,146,75,146,93,146,146
13,35,35,35,35,35,35,35,35,16,35,35,102,35,35,35,13,35,73,35,35
14,74,98,74,87,74,90,74,80,82,74,86,98,74,80,74,90,74,87,74,80
15,17,125,3,17,21,65,21,47,5,21,30,34,64,43,5,5,64,17,5,17
16,111,111,110,111,110,111,111,111,111,110,111,111,110,111,110,111,110,111,111,111
17,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134
18,127,150,127,145,127,54,127,110,46,127,127,102,127,47,127,42,127,139,8,127
19,136,136,136,138,136,23,136,138,138,136,136,150,136,138,136,138,136,138,138,136
20,42,138,42,138,42,138,42,138,129,42,42,140,42,138,138,138,42,128,42,42
21,133,133,133,123,142,128,133,123,133,133,88,47,47,133,133,88,133,133,82,82
22,1,16,1,5,1,21,1,5,1,1,1,0,1,44,1,44,1,5,1,1
23,142,88,142,142,142,142,4,88,47,142,142,47,142,143,88,20,142,88,123,47
24,5,11,5,17,17,17,5,17,17,5,5,149,5,149,5,17,5,17,5,5
25,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
26,102,30,34,30,102,27,144,47,13,102,102,63,102,34,102,27,144,47,102,102
27,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111
